Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Abbott's Booby,Papasula abbotti,oceania,white,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.","This large, endangered seabird lives only on Christmas Island.",,,X,5,platform,1,190,,,X,,,2,,,,,,,2,,,,,,,X,,,X,,,,,,,,,X,,,X,,,,X,,,,X,
Acorn Woodpecker,Melanerpes formicivorus,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.","In a single dead tree, these birds may drill as many as 50,000 holes for storing acorns.",,,,5,cavity,4,46,X,,,,3,,,,,,,,3,X,X,,,,,,,,,,,,,X,X,,,,,X,,X,,,,,,,,
American Avocet ,Recurvirostra americana,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [ground] nest.","American avocets build their own nests, but they also parasitize other birds' nests.",,,,6,ground,2,79,,,X,2,1,,,,,,,,3,X,X,,,,,,,X,,,,,,X,X,X,,,,,X,,,,,,,,X,
American Bittern ,Botaurus lentiginosus,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,"Bitterns hide in reeds and cattails, where they are well camouflaged.",,,,7,platform,2,107,,,X,1,,1,,1,,,,,3,X,X,,,,,,,X,,,,,,,X,,,X,,,X,,,,X,,X,,X,
American Coot,Fulica americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].","These omnivorous birds eat a lot of algae, but also seeds, fish, insects, and mollusks.",,X,,3,platform,5,61,,,X,,1,,,,,1,,,2,X,X,X,,,,,,X,,,X,,X,X,,,,,,,,,X,,X,,,,X,
American Crow ,Corvus brachyrhynchos,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These intelligent birds steal eggs and food from other birds, and cache food for later.",,,,4,platform,2,99,X,X,X,,,,,,,1,,,1,X,,,,,,,,X,,,,X,,,,,,,,,X,,X,,X,,,,,
American Goldfinch ,Spinus tristis,core,white,Gain 3 [seed] from the supply.,"Goldfinches breed late, after the milkweek and thistle have gone to seed.",,,,3,bowl,3,23,,X,,,2,,,,,,,,2,X,X,,,,,,,X,,X,X,,,X,,,,,,,,,,X,,X,,,,X
American Kestrel ,Falco sparverius,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Kestrels track rodents by their urine and will cache surplus kills for later.,X,,,5,cavity,3,56,,X,,1,,,,1,,,,,2,X,X,X,,,,,,X,,,,,,,,,X,,,,,X,,,,X,X,,,
American Oystercatcher,Haematopus palliatus,core,white,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",These birds feed not just on oysters and shellfish but also other invertebrates.,,,,5,ground,2,81,,,X,2,,,,,,,,,2,X,X,X,,,,,,X,,,,,,,,X,,,X,,X,,,,,,,,X,
American Redstart,Setophaga ruticilla,swiftstart,brown,Gain 1 [die] from the birdfeeder.,"Redstarts get their name from the Old English word ""steart,"" meaning tail.",,,,4,bowl,2,20,X,,,1,,,1,,,,,,2,X,X,X,,,,,,X,,X,,,,,,,,,,X,,,,X,,,,X,,X
American Robin,Turdus migratorius,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Robins have been known to roost in groups of a hundred thousand or more.,,X,,1,bowl,4,43,X,X,,1,,,1,,,,/,,1,X,X,,,,,,,X,,,X,X,X,,,,,,,,,,,,,,,X,,X
American White Pelican ,Pelecanus erythrorhynchos,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Pelicans work together to herd fish and then scoop them up.,,X,,5,ground,1,274,,,X,,,2,,,,,,,2,X,X,,,,,,,X,,X,,,X,,,X,,X,,,X,,,,,,,,X,
American Woodcock,Scolopax minor,core,,,The woodcock's amazing mating display involves repeated dives from 90 meters.,,,,9,ground,2,46,X,X,,2,1,,,,,,,,3,X,X,,,,,,,X,,,,X,,X,X,X,,,,,,,,,,,,,,
Anhinga,Anhinga anhinga,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.","This bird is called ""snakebird""---it swims with only head and neck above water.",X,,,6,platform,2,114,,,X,,,2,,,,,,,2,X,X,X,,,,,,,,,,,,,,,X,X,,,X,,,,X,,,,X,
Anna's Hummingbird ,Calypte anna,core,brown,"Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.",These birds' impressive mating displays involve diving from over 30 meters in the air.,,,,4,bowl,2,13,X,X,X,,,,,,,1,,,1,X,,,,,,,,,X,,,X,,,,,,,,,,,X,X,,,,,,X
Ash-Throated Flycatcher ,Myiarchus cinerascens,core,white,Lay 1 [egg] on each of your birds with a [cavity] nest.,These birds are adapted to dry places: they get all their water from their food.,,,,4,cavity,4,30,,X,,2,,,1,,,,,,3,X,X,,,,,,X,,,X,,,,,X,,,,,,,X,,X,,X,,X,,
Atlantic Puffin,Fratercula arctica,core,white,Draw 2 new bonus cards and keep 1.,Puffins' breeding areas are threatened by climate change.,,,X,8,wild,1,53,,,X,,,3,,,,,,,3,X,,,X,X,,,,X,,,,,,,X,X,,X,,,,X,,,X,,,,X,X
Audouin's Gull,Ichthyaetus audouinii,european,brown,Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.,"The population of Audouin's gulls is recovering nicely, from a low of about 1,000 pairs in the 1960s.",,X,,1,ground,2,132,,,X,,,1,,,,1,,,2,,,,X,,X,,,,X,,X,,X,,,X,,X,,,X,,X,,,,,,X,
Australasian Pipit,Anthus novaeseelandiae,oceania,yellow,"Tuck 1 [card] from the deck behind each bird in your [grassland], including this one.",This grassland bird also thrives in human-made grasslands like gardens and playing fields.,,X,,3,ground,4,31,,X,,1,1,,,,,,,,2,,,,,,,X,,X,,,X,,X,X,,X,,,,,,,,,,X,,,,
